area_util,banheiros,vagas,quartos,suites,latitude,longitude,dist_terreno,preco,preco_m2
223,5,3,4,4,-27.00690078735352,-48.61081314086913,3.53950778369096,3300000,14798.206278026906
174,0,2,3,3,-27.0011858,-48.6298047,1.88279332287048,1750000,10057.471264367816
92,3,1,3,2,-27.0063542,-48.6105639,3.51785916887042,879700,9561.95652173913
100,3,2,3,1,-26.986570358276367,-48.63264465332031,0.480813833083307,1500000,15000.0
151,5,2,4,4,-26.997226,-48.6304919,1.45590794266359,2100000,13907.28476821192
135,3,2,4,4,-26.973278045654297,-48.63752365112305,1.38072303842538,1280000,9481.481481481482
257,4,3,4,4,-27.00762687771096,-48.60798828144533,3.80422437373409,5960000,23190.66147859922
150,5,3,4,4,-26.996,-48.6328,1.23559482575517,1899000,12660.0
151,4,1,4,4,-26.99589,-48.628786,1.42114032837328,2300000,15231.788079470198
198,3,4,4,2,-26.98008918762207,-48.636905670166016,0.624278373962841,3997000,20186.868686868685
180,5,3,4,4,-26.99984359741211,-48.624805450439446,2.01081140704144,3200000,17777.777777777777
65,2,1,2,1,-26.975855,-48.6400685,1.12565854454245,545000,8384.615384615385
147,3,3,3,3,-26.9904386021766,-48.634812344952365,0.588038897985362,1225355,8335.748299319728
85,2,1,2,1,-26.984227,-48.6370654,0.164953293924388,650000,7647.058823529412
238,5,4,4,4,-27.0048204,-48.615065,3.07282235942211,6600000,27731.092436974788
67,1,1,2,0,-26.976766,-48.641572399999966,1.07571116754258,587818,8773.402985074626
315,2,4,5,5,-26.972875,-48.6375696,1.42563821417676,3750000,11904.761904761905
132,4,3,4,2,-26.9798802,-48.638320500000006,0.652305528385291,2499000,18931.81818181818
162,2,2,3,1,-26.99955022911076,-48.62603233862308,1.91114900605831,1200000,7407.407407407408
164,5,2,4,4,-26.99569,-48.6297924,1.34504265276139,2374000,14475.609756097561
133,0,2,3,3,-27.0009924,-48.6265543,2.01495186411083,1490000,11203.007518796992
129,4,3,3,3,-27.0040925,-48.6233319,2.47883897692021,1290000,10000.0
185,4,3,4,2,-26.9728951,-48.6370525,1.42367489161519,1900000,10270.27027027027
63,2,1,2,1,-26.9812,-48.6454,0.938372243041986,470000,7460.31746031746
